CIUDAD;VENDEDOR;FACTURA ;FECHA;CLIENTE ;VALOR SIN IVA;VALOR CON IVA;CREDITO;VENCIMIENTO;FECHA PAGO;RADICACION;LINEA; ESTADO DE LA COMISION;;
BOGOTA;RGC;6056;5-oct.-20;CIA COLOMBIANA DE CERAMICA S.A.S.;320.736;381.676;60;6-dic-20;10-dic.-20;7-oct-20;SANDPIPER;PAGADA DICIEMBRE;;
BUCARAMANGA;LRL;6057;5-oct.-20;ESSI ELECTRICIDAD Y SERVICIOS INDUSTRIALES S.A.S.;1.970.000;2.344.300;60;6-dic-20;26-ene.-21;7-oct-20;SANDPIPER;PAGADA ENERO;;
CALI;NVJ;6058;6-oct.-20;CARTONERA NACIONAL S.A.;5.280.000;5.280.000;90;6-ene-21;15-ene.-21;8-oct-20;SANDPIPER;PAGADA ENERO;;
MEDELLIN;JGG;6059;6-oct.-20;SARY SOCIEDAD POR ACCIONES SIMPLIFICADA;173.000;205.870;30;7-nov-20;6-nov.-20;8-oct-20;OTROS;PAGADA NOVIEMBRE;;
BOGOTA;MAV;6060;6-oct.-20;PRODUCCIONES QUIMICAS S.A.;2.569.300;3.057.467;30;7-nov-20;17-nov.-20;8-oct-20;SANDPIPER;PAGADA NOVIEMBRE;;
BOGOTA;RGC;6061;6-oct.-20;CIA COLOMBIANA DE CERAMICA S.A.S.;1.522.744;1.812.065;60;7-dic-20;10-dic.-20;8-oct-20;SANDPIPER;PAGADA DICIEMBRE;;
BOGOTA;RGC;6062;6-oct.-20;ITALCOL S.A.;755.000;898.450;30;7-nov-20;19-nov.-20;8-oct-20;OTROS;PAGADA NOVIEMBRE;;
BOGOTA;RGC;6063;6-oct.-20;ITALCOL S.A.;1.921.000;2.285.990;30;7-nov-20;19-nov.-20;8-oct-20;OTROS;PAGADA NOVIEMBRE;;
BOGOTA;RGC;6064;6-oct.-20;ITALCOL S.A.;650.000;773.500;30;7-nov-20;19-nov.-20;8-oct-20;OTROS;PAGADA NOVIEMBRE;;
CARTAGENA ;HJS;6065;7-oct.-20;MEXICHEM RESINAS COLOMBIA S.A.S.;49.187.502;58.533.127;60;8-dic-20;20-nov.-20;9-oct-20;SANDPIPER;PAGADA NOVIEMBRE;;
BOGOTA ;RGC;6066;7-oct.-20;COMPAÑÍA LECHERA DE EL MORTIÑO S.A.S.;5.536.000;6.587.840;30;8-nov-20;8-abr.-21;9-oct-20;SANDPIPER;PAGADA MARZO;;
MEDELLIN;JGG;6067;7-oct.-20;CONTINENTAL GOLD LIMITED SUCURSAL COLOMBIA;43.058.000;51.239.020;30;8-nov-20;13-nov.-20;9-oct-20;OTROS;PAGADA NOVIEMBRE;;
;;6068;;ANULADA;;;;;;;;;;
BOGOTA ;RGC;6069;9-oct.-20;ALIMENTOS FINCA S.A.S.;3.238.000;3.853.220;30;10-nov-20;11-nov.-20;11-oct-20;OTROS;PAGADA NOVIEMBRE;;
BOGOTA;MAV;6070;13-oct.-20;GRAN TIERRA ENERGY COLOMBIA, LLC SUCURSAL;7.029.000;8.364.510;30;14-nov-20;20-nov.-20;15-oct-20;VIKING;PAGADA NOVIEMBRE;;
MEDELLIN;JGG;6071;13-oct.-20;ALIMENTOS FINCA S.A.S.;942.000;1.120.980;30;14-nov-20;17-nov.-20;15-oct-20;VIKING;PAGADA NOVIEMBRE;;
BOGOTA;RGC;6072;13-oct.-20;ALIMENTOS FINCA S.A.S.;1.455.000;1.731.450;30;14-nov-20;11-nov.-20;15-oct-20;OTROS;PAGADA NOVIEMBRE;;
BARRANQUILLA;HJS;6073;14-oct.-20;SERVICIOS INTEGRADOS NP S.A.S.;1.430.000;1.701.700;0;16-oct-20;13-oct.-20;16-oct-20;OTROS;PAGADA OCTUBRE;;
MEDELLIN;JGG;6074;14-oct.-20;INDUSTRIA HACEB S.A.;4.386.600;5.220.054;60;15-dic-20;18-dic.-20;16-oct-20;OTROS;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6075;14-oct.-20;EUROCERAMICA S.A.;2.482.400;2.954.056;30;15-nov-20;13-nov.-20;16-oct-20;SANDPIPER;PAGADA NOVIEMBRE;;
BOGOTA;JFA;6076;14-oct.-20;CONFUTRONICS LTDA.;11.000.000;13.090.000;0;16-oct-20;13-oct.-20;16-oct-20;VIKING;PAGADA OCTUBRE;;
MEDELLIN;JGG;6077;14-oct.-20;CIA COLOMBIANA DE CERAMICA S.A.S.;11.915.046;14.178.905;60;15-dic-20;22-dic.-20;16-oct-20;SANDPIPER;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6078;14-oct.-20;ITALCOL DE OCCIDENTE S.A.;1.350.000;1.606.500;30;15-nov-20;20-nov.-20;16-oct-20;OTROS;PAGADA NOVIEMBRE;;
MEDELLIN ;JGG;6079;15-oct.-20;ITALCOL S.A.;17.998.000;21.417.620;30;16-nov-20;25-nov.-20;17-oct-20;VIKING;PAGADA NOVIEMBRE;;
;;6080;;ANULADA;;;;;;;;;;
MEDELLIN;JGG;6081;16-oct.-20;CONTEGRAL S.A.S.;3.598.000;4.281.620;30;17-nov-20;17-nov.-20;18-oct-20;VIKING;PAGADA NOVIEMBRE;;
MEDELLIN;JGG;6082;16-oct.-20;CIA COLOMBIANA DE CERAMICA S.A.S.;1.371.000;1.631.490;60;17-dic-20;22-dic.-20;18-oct-20;OTROS;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6083;16-oct.-20;SENCO COLOMBIANA S.A.S.;1.733.000;2.062.270;0;18-oct-20;15-oct.-20;18-oct-20;SANDPIPER;PAGADA OCTUBRE;;
MEDELLIN;JGG;6084;16-oct.-20;SENCO COLOMBIANA S.A.S.;1.435.200;1.707.888;0;18-oct-20;15-oct.-20;18-oct-20;SANDPIPER;PAGADA OCTUBRE;;
MEDELLIN;JGG;6085;16-oct.-20;COLORETTO S.A. EN REORGANIZACION;515.000;612.850;0;18-oct-20;9-oct.-20;18-oct-20;OTROS;PAGADA OCTUBRE;;
BARRANQUILLA;HJS;6086;19-oct.-20;C.I. NATURMEGA S.A.;3.946.488;4.696.321;90;19-ene-21;3-may.-21;21-oct-20;OTROS;PAGADA MAYO;;
BOGOTA;MAV ;6087;20-oct.-20;PRESH TECH S.A.S.;2.560.000;3.046.400;30;21-nov-20;25-nov.-20;22-oct-20;SANDPIPER;PAGADA NOVIEMBRE;;
CARTAGENA ;HJS ;6088;20-oct.-20;MEXICHEM RESINAS COLOMBIA S.A.S.;4.035.282;4.801.986;60;21-dic-20;21-dic.-20;22-oct-20;SANDPIPER;PAGADA DICIEMBRE;;
BARRANQUILLA;HJS;6089;20-oct.-20;ITALCOL S.A.;6.170.000;7.342.300;30;21-nov-20;26-nov.-20;22-oct-20;VIKING;PAGADA NOVIEMBRE;;
CALI ;NVJ;6090;21-oct.-20;MAYAGUEZ S.A.;3.024.320;3.598.941;30;22-nov-20;20-nov.-20;23-oct-20;SANDPIPER;PAGADA NOVIEMBRE;;
BUCARAMANGA;LRL;6091;21-oct.-20;ESSI ELECTRICIDAD Y SERVICIOS INDUSTRIALES S.A.S.;7.060.000;8.401.400;60;22-dic-20;26-ene.-21;23-oct-20;SANDPIPER;PAGADA ENERO;;
BUCARAMANGA;LRL;6092;21-oct.-20;ESSI ELECTRICIDAD Y SERVICIOS INDUSTRIALES S.A.S.;17.600.000;20.944.000;60;22-dic-20;26-ene.-21;23-oct-20;SANDPIPER;PAGADA ENERO;;
MEDELLIN;JGG;6093;21-oct.-20;INDUSTRIA HACEB S.A.;2.083.000;2.478.770;60;22-dic-20;18-dic.-20;23-oct-20;VIKING;PAGADA DICIEMBRE;;
;;6094;;ANULADA;;;;;;;;;;
BOGOTA ;JFA;6095;21-oct.-20;SUPPLYTEC S.A.S.;688.908;819.801;0;23-oct-20;22-ago.-20;23-oct-20;VIKING;PAGADA OCTUBRE;;
;;6096;;ANULADA;;;;;;;;;;
BOGOTA;RGC;6097;21-oct.-20;CIA COLOMBIANA DE CERAMICA S.A.S.;567.090;674.837;60;22-dic-20;22-dic.-20;23-oct-20;SANDPIPER;PAGADA DICIEMBRE;;
BOGOTA;RGC;6098;21-oct.-20;COMPAÑÍA LECHERA DE EL MORTIÑO S.A.S.;1.768.000;2.103.920;30;22-nov-20;2-dic.-20;23-oct-20;SANDPIPER;PAGADA DICIEMBRE;;
BOGOTA;JGG;6099;21-oct.-20;CHEVRON PETROEUM COMPANY;10.220.372;12.162.243;30;22-nov-20;26-nov.-20;23-oct-20;VIKING;PAGADA NOVIEMBRE;;
MEDELLIN;JGG;6100;21-oct.-20;EUROCERAMICA S.A.;1.624.400;1.933.036;30;22-nov-20;20-nov.-20;23-oct-20;SANDPIPER;PAGADA NOVIEMBRE;;
MEDELLIN;JGG;6101;21-oct.-20;C.I. UNION DE BANANEROS DE URABA S.A. UNIBAN;6.740.000;8.020.600;30;22-nov-20;20-nov.-20;23-oct-20;VIKING;PAGADA NOVIEMBRE;;
BOGOTA;MAV ;6102;21-oct.-20;C. I . DIGI COSMETICS COLOMBIA S.A.S.;3.576.355;4.255.862;0;23-oct-20;22/09/20 y 10/11/20;23-oct-20;SANDPIPER;PAGADA NOVIEMBRE;;
BOGOTA;MAV ;6103;21-oct.-20;RAMGUZ S.A.;15.503.207;18.448.816;0;23-oct-20;11/09/20 y 22/10/20;23-oct-20;SANDPIPER;PAGADA NOVIEMBRE;;
CALI;NVJ;6104;21-oct.-20;CARTONERA NACIONAL S.A.;4.848.000;4.848.000;90;21-ene-21;29-ene.-21;23-oct-20;SANDPIPER;PAGADA ENERO;;
MEDELLIN;JGG;6105;22-oct.-20;INDUSTRIA COLOMBIANA DE CAFÉ S.A.S.;6.043.000;7.191.170;30;23-nov-20;25-nov.-20;24-oct-20;OTROS;PAGADA NOVIEMBRE;;
MEDELLIN;JGG;6106;22-oct.-20;CONTINENTAL GOLD LIMITED SUCURSAL COLOMBIA;279.850;333.022;30;23-nov-20;4-dic.-20;24-oct-20;VIKING;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6107;22-oct.-20;CIA COLOMBIANA DE CERAMICA S.A.S.;833.808;992.232;60;23-dic-20;22-dic.-20;24-oct-20;SANDPIPER;PAGADA DICIEMBRE;;
BARRANQUILLA;HJS;6108;22-oct.-20;CARBONES COLOMBIANOS DEL CERREJON S.A.S.;21.081.600;25.087.104;0;24-oct-20;14/10/20 y 28/10/20;24-oct-20;HIDROMAC;PAGADA OCTUBRE;;
;;6109;;ANULADA;;;;;;;;;;
;;6110;;ANULADA;;;;;;;;;;
BOGOTA;MAV;6111;3-nov.-20;SOLLA S.A.;2.664.550;3.170.815;30;5-dic-20;9-dic.-20;5-nov-20;VIKING;PAGADA DICIEMBRE;;
CARTAGENA;HJS;6112;3-nov.-20;BAVARIA S.A.;16.663.936;19.830.084;30;5-dic-20;3-feb.-21;5-nov-20;VIKING;PAGADA FEBRERO;;
;;6113;;ANULADA;;;;;;;;;;
SANTA MARTA;HJS;6114;3-nov.-20;C.I. TECNICAS BALTIME DE COLOMBIA S.A.;2.928.000;3.484.320;30;5-dic-20;18-dic.-20;5-nov-20;SANDPIPER ;PAGADA DICIEMBRE;;
CARTAGENA ;HJS;6115;3-nov.-20;MEXICHEM RESINAS COLOMBIA S.A.S.;447.979;533.095;60;4-ene-21;14-ene.-21;5-nov-20;SANDPIPER ;PAGADA ENERO;;
BOGOTA ;RGC ;6116;3-nov.-20;EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS S.A. VECOL S.A.;30.106.027;35.826.172;30;5-dic-20;18-dic.-20;5-nov-20;SANDPIPER ;PAGADA DICIEMBRE;;
BOGOTA ;RGC ;6117;3-nov.-20;AJOVER DARNEL S.A.S.;801.360;953.618;30;5-dic-20;10-dic.-20;5-nov-20;VIKING;PAGADA DICIEMBRE;;
MANIZALES;JGG;6118;3-nov.-20;MEALS MERCADEO DE ALIMENTOS DE COLOMBIA S.A.;71.174.998;84.698.248;30;5-dic-20;3-dic.-20;5-nov-20;VIKING;PAGADA DICIEMBRE;;
CALI ;NVJ;6119;3-nov.-20;CARTONES AMERICA S.A.;936.720;1.114.697;60;4-ene-21;11-dic.-20;5-nov-20;SANDPIPER ;PAGADA DICIEMBRE;;
BOGOTA ;RGC ;6120;3-nov.-20;AJOVER DARNEL S.A.S.;2.028.320;2.413.701;30;5-dic-20;18-dic.-20;5-nov-20;VIKING;PAGADA DICIEMBRE;;
BOGOTA;JFA;6121;3-nov.-20;ITALCOL S.A.;1.021.000;1.214.990;30;5-dic-20;12-ene.-21;5-nov-20;OTROS;PAGADA ENERO;;
BOGOTA;JFA;6122;3-nov.-20;REFINERIA DE CARTAGENA S.A.S.;8.627.161;8.627.161;30;5-dic-20;1-dic.-20;5-nov-20;SANDPIPER ;PAGADA DICIEMBRE;;
BOGOTA;RGC;6123;4-nov.-20;COLFLUIDOS DE COLOMBIA S.A.S.;6.357.456;7.565.373;0;6-nov-20;3-nov.-20;6-nov-20;VIKING;PAGADA NOVIEMBRE;;
BOGOTA;RGC;6124;4-nov.-20;CIA COLOMBIANA DE CERAMICA S.A.S.;3.113.056;3.704.537;60;5-ene-21;6-ene.-21;6-nov-20;SANDPIPER ;PAGADA ENERO;;
BOGOTA ;RGC;6125;4-nov.-20;SUMINISTROS DE COLOMBIA S.A.S.;7.396.525;8.801.865;60;5-ene-21;6-ene.-21;6-nov-20;SANDPIPER ;PAGADA ENERO;;
MEDELLIN;JGG;6126;4-nov.-20;AGUATEC S.A.S.;684.000;813.960;30;6-dic-20;4-dic.-20;6-nov-20;SANDPIPER ;PAGADA DICIEMBRE;;
BOGOTA ;RGC ;6127;4-nov.-20;ITALCOL S.A.;1.424.000;1.694.560;30;6-dic-20;15-dic.-20;6-nov-20;OTROS;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6128;5-nov.-20;CONTINENTAL GOLD LIMITED SUCURSAL COLOMBIA;16.926.000;20.141.940;30;7-dic-20;11-dic.-20;7-nov-20;OTROS;PAGADA DICIEMBRE;;
BARRANCABERMEJA;MAV;6129;5-nov.-20;SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.;1.512.000;1.512.000;30;7-dic-20;2-dic.-20;7-nov-20;SANDPIPER ;PAGADA DICIEMBRE;;
BOGOTA;JFA;6130;5-nov.-20;ECOPETROL S.A.;78.700.991;93.654.179;30;7-dic-20;9-dic.-20;7-nov-20;SANDPIPER ;PAGADA DICIEMBRE;;
BOGOTA;IVP;6131;5-nov.-20;CANPACK COLOMBIA S.A.S.;7.348.000;8.744.120;30;7-dic-20;11-dic.-20;7-nov-20;VIKING;PAGADA DICIEMBRE;;
BOGOTA;IVP;6132;5-nov.-20;CANPACK COLOMBIA S.A.S.;538.000;640.220;30;7-dic-20;30-nov.-20;7-nov-20;VIKING;PAGADA NOVIEMBRE;;
MEDELLIN;JGG;6133;6-nov.-20;COLORQUIMICA S.A.;148.175;176.328;30;8-dic-20;11-dic.-20;8-nov-20;SANDPIPER ;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6134;6-nov.-20;CALDAS GOLD MARMOTO S.A.S.;9.517.500;11.325.825;60;7-ene-21;8-ene.-21;8-nov-20;SANDPIPER ;PAGADA ENERO;;
BOGOTA ;RGC ;6135;6-nov.-20;SUMINISTROS DE COLOMBIA S.A.S.;669.500;796.705;60;7-ene-21;6-ene.-21;8-nov-20;OTROS ;PAGADA ENERO;;
CARTAGENA ;HJS;6136;6-nov.-20;MEXICHEM RESINAS COLOMBIA S.A.S.;36.021.818;42.865.963;60;7-ene-21;10-dic.-20;8-nov-20;SANDPIPER ;PAGADA DICIEMBRE;;
CALI ;NVJ;6137;6-nov.-20;CARTONES AMERICA S.A.;936.720;1.114.697;60;7-ene-21;11-dic.-20;8-nov-20;SANDPIPER ;PAGADA DICIEMBRE;;
BOGOTA;RGC;6138;6-nov.-20;CASA LUKER S.A.;1.100.000;1.309.000;30;8-dic-20;11-dic.-20;8-nov-20;VIKING;PAGADA DICIEMBRE;;
BOGOTA ;RGC;6139;6-nov.-20;DETERGENTES LTDA;4.341.500;5.166.385;30;8-dic-20;24-feb.-21;8-nov-20;OTROS;PAGADA FEBRERO;;
;;6140;;ANULADA;;;;;;;;;;
MANIZALES;JGG;6141;9-nov.-20;PRODUCTORA DE GELATINA S.A.S. ;37.572.000;44.710.680;30;11-dic-20;30-nov.-20;11-nov-20;HIDROMAC;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6142;9-nov.-20;MUMA S.A.S.;2.786.400;3.315.816;30;11-dic-20;30-dic.-20;11-nov-20;VIKING;PAGADA ENERO;;
MEDELLIN;JGG;6143;9-nov.-20;CIA COLOMBIANA DE CERAMICA S.A.S.;1.189.437;1.415.430;60;10-ene-21;6-ene.-21;11-nov-20;SANDPIPER;PAGADA ENERO;;
BOGOTA;MAV;6144;9-nov.-20;SUMMUN ENERGY S.A.S.;1.029.000;1.224.510;0;11-nov-20;5-nov.-20;11-nov-20;DOSIFICACION;PAGADA NOVIEMBRE;;
;;6145;;ANULADA;;;;;;;;;;
BOGOTA;JFA;6146;9-nov.-20;GRASCO LTDA;4.180.000;4.974.200;30;11-dic-20;8-abr.-21;11-nov-20;VIKING;PAGADA ABRIL;;
;;6147;;ANULADA;;;;;;;;;;
BOGOTA;MAV;6148;9-nov.-20;PRODUCCIONES QUIMICAS S.A.;1.533.000;1.824.270;30;11-dic-20;22-dic.-20;11-nov-20;SANDPIPER;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6149;11-nov.-20;C.I. UNION DE BANANEROS DE URABA S.A. UNIBAN;11.595.000;13.798.050;30;13-dic-20;11-dic.-20;13-nov-20;VIKING;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6150;11-nov.-20;INDUSTRIA COLOMBIANA DE CAFÉ S.A.S.;15.736.960;18.726.982;30;13-dic-20;14-dic.-20;13-nov-20;OTROS;PAGADA DICIEMBRE;;
BOGOTA;RGC;6151;11-nov.-20;CIA COLOMBIANA DE CERAMICA S.A.S.;1.592.992;1.895.660;60;12-ene-21;6-ene.-21;13-nov-20;SANDPIPER;PAGADA ENERO;;
;;6152;;ANULADA;;;;;;;;;;
BARRANQUILLA;HJS;6153;11-nov.-20;TALECTRO INGENIERIA S.A.S.;18.345.600;21.831.264;30;13-dic-20;11-dic.-20;13-nov-20;VIKING;PAGADA DICIEMBRE;;
BOGOTA;IVP;6154;11-nov.-20;INGENIERIA, SEGURIDAD, CONTROL E INNOVACION S.A.S.;2.138.600;2.544.934;0;13-nov-20;11-nov.-20;13-nov-20;DOSIFICACION;PAGADA NOVIEMBRE;;
CALI ;NVJ;6155;12-nov.-20;MAYAGUEZ S.A.;1.400.000;1.666.000;30;14-dic-20;17-feb.-21;14-nov-20;SANDPIPER;PAGADA FEBRERO;;
MEDELLIN;JGG;6156;12-nov.-20;SUMINISTROS DE COLOMBIA S.A.S.;1.152.460;1.371.427;60;13-ene-21;6-ene.-21;14-nov-20;SANDPIPER;PAGADA ENERO;;
BUCARAMANGA;LRL;6157;12-nov.-20;ESSI ELECTRICIDAD Y SERVICIOS INDUSTRIALES S.A.S.;10.600.000;12.614.000;60;13-ene-21;26-ene.-21;14-nov-20;SANDPIPER;PAGADA ENERO;;
BUCARAMANGA;LRL;6158;12-nov.-20;ESSI ELECTRICIDAD Y SERVICIOS INDUSTRIALES S.A.S.;10.600.000;12.614.000;60;13-ene-21;26-ene.-21;14-nov-20;SANDPIPER;PAGADA ENERO;;
BUCARAMANGA;LRL;6159;12-nov.-20;ESSI ELECTRICIDAD Y SERVICIOS INDUSTRIALES S.A.S.;10.600.000;12.614.000;60;13-ene-21;26-ene.-21;14-nov-20;SANDPIPER;PAGADA ENERO;;
CALI;LRL;6160;12-nov.-20;ASESORIAS DE VALVULAS Y ACTUADORES S.A.S. ;470.000;559.300;30;14-dic-20;28-nov.-20;14-nov-20;OTROS;PAGADA NOVIEMBRE;;
BOGOTA;JFA;6161;13-nov.-20;ITALCOL S.A.;19.915.000;23.698.850;30;15-dic-20;12-ene.-21;15-nov-20;VIKING;PAGADA ENERO;;
BOGOTA;JFA;6162;13-nov.-20;ECOPETROL S.A.;14.714.684;17.510.474;30;15-dic-20;14-dic.-20;15-nov-20;SANDPIPER;PAGADA DICIEMBRE;;
BOGOTA;MAV;6163;13-nov.-20;ALIMENTOS CARNICOS S.A.S.;3.313.000;3.942.470;30;15-dic-20;16-dic.-20;15-nov-20;DOSIFICACION;PAGADA DICIEMBRE;;
BOGOTA;RGC;6164;13-nov.-20;S.A.C. INGENIERIA ;2.724.498;3.242.153;0;15-nov-20;6-nov.-20;15-nov-20;HIDROMAC;PAGADA NOVIEMBRE;;
BOGOTA;JFA;6165;13-nov.-20;MEALS MERCADEO DE ALIMENTOS DE COLOMBIA S.A.;16.922.107;20.137.307;30;15-dic-20;16-dic.-20;15-nov-20;OTROS;PAGADA DICIEMBRE;;
BOGOTA ;JFA;6166;17-nov.-20;ESPUMAS SANTA FE DE BOGOTA S.A.;985.000;1.172.150;30;19-dic-20;14-dic.-20;19-nov-20;VIKING ;PAGADA DICIEMBRE;;
BOGOTA;JFA;6167;17-nov.-20;ESPUMAS SANTA FE DE BOGOTA S.A.;7.359.000;8.757.210;30;19-dic-20;14-dic.-20;19-nov-20;VIKING;PAGADA DICIEMBRE;;
BOGOTA;JFA;6168;17-nov.-20;INDUSTRIAS SPRING S A S;2.720.000;3.236.800;30;19-dic-20;23-dic.-20;19-nov-20;VIKING;PAGADA DICIEMBRE;;
;;6169;;ANULADA;;;;;;;;;;
MEDELLIN;JGG;6170;17-nov.-20;CIA COLOMBIANA DE CERAMICA S.A.S.;104.030;123.796;60;18-ene-21;13-ene.-21;19-nov-20;SANDPIPER;PAGADA ENERO;;
BOGOTA;MAV;6171;17-nov.-20;PRODUCCIONES QUIMICAS S.A.;296.000;352.240;30;19-dic-20;22-dic.-20;19-nov-20;SANDPIPER;PAGADA DICIEMBRE;;
CARTAGENA ;HJS;6172;17-nov.-20;MEXICHEM RESINAS COLOMBIA S.A.S.;994.070;1.182.943;60;18-ene-21;28-ene.-21;19-nov-20;SANDPIPER;PAGADA ENERO;;
BARRANQUILLA;HJS;6173;17-nov.-20;CONFIPETROL S.A.S.;400.000;476.000;30;19-dic-20;29-dic.-20;19-nov-20;SANDPIPER;PAGADA MARZO;;
BARRANQUILLA;HJS;6174;17-nov.-20;CONFIPETROL S.A.S.;539.840;642.410;30;19-dic-20;29-dic.-20;19-nov-20;SANDPIPER;PAGADA MARZO;;
BOGOTA;IVP;6175;18-nov.-20;CANPACK COLOMBIA S.A.S.;7.288.556;8.673.382;30;20-dic-20;21-dic.-20;20-nov-20;VIKING;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6176;18-nov.-20;DRINKS DE COLOMBIA S.A.S. ;1.370.850;1.631.312;0;20-nov-20;28-oct.-20;20-nov-20;DOSIFICACION;PAGADA NOVIEMBRE;;
BOGOTA;MAV;6177;18-nov.-20;PRODUCCIONES QUIMICAS S.A.;7.318.400;8.708.896;30;20-dic-20;22-dic.-20;20-nov-20;SANDPIPER;PAGADA DICIEMBRE;;
BOGOTA;MAV;6178;18-nov.-20;PRODUCCIONES QUIMICAS S.A.;2.560.000;3.046.400;30;20-dic-20;22-dic.-20;20-nov-20;SANDPIPER;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6179;18-nov.-20;AGROZ S.A.;24.822.400;29.538.656;30;20-dic-20;23-dic.-20;20-nov-20;SANDPIPER;PAGADA DICIEMBRE;;
BOGOTA;RGC;6180;18-nov.-20;DETERGENTES LTDA;11.138.904;13.255.296;30;20-dic-20;21-abr.-21;20-nov-20;VIKING ;PAGADA ABRIL;;
BOGOTA;RGC;6181;19-nov.-20;BANCO DE LA REPUBLICA ;2.666.371;3.172.981;0;21-nov-20;20-nov.-20;21-nov-20;OTROS;PAGADA NOVIEMBRE;;
CALI;NVJ;6182;19-nov.-20;AGUAS DE BUGA S.A. E.S.P.;58.792.867;69.963.512;30;21-dic-20;21/08/20 y 21/12/20;21-nov-20;OTROS;PAGADA DICIEMBRE;;
BOGOTA;RGC;6183;19-nov.-20;ITALCOL S.A.;1.148.000;1.366.120;30;21-dic-20;12-ene.-21;21-nov-20;DOSIFICACION;PAGADA ENERO;;
BARRANQUILLA;HJS;6184;20-nov.-20;CARBONES COLOMBIANOS DEL CERREJON S.A.S.;180.000;214.200;30;22-dic-20;13-nov.-20;22-nov-20;OTROS;PAGADA NOVIEMBRE;;
MEDELLIN;JGG;6185;20-nov.-20;AMTEX S.A.;6.992.020;8.320.504;60;21-ene-21;12-feb.-21;22-nov-20;SANDPIPER;PAGADA FEBRERO;;
;;6186;;ANULADA;;;;;;;;;;
;;6187;;ANULADA;;;;;;;;;;
MEDELLIN;JGG;6188;20-nov.-20;CIA COLOMBIANA DE CERAMICA S.A.S.;6.646.645;7.909.508;60;21-ene-21;25-feb.-21;22-nov-20;SANDPIPER;PAGADA FEBRERO;;
BUCARAMANGA;LRL;6189;23-nov.-20;ESSI ELECTRICIDAD Y SERVICIOS INDUSTRIALES S.A.S.;1.970.000;2.344.300;60;24-ene-21;9-abr.-21;25-nov-20;SANDPIPER;PAGADA ABRIL;;
BOGOTA;RGC;6190;23-nov.-20;LACTEOS LA ARBOLEDA S.A.S.;1.750.000;2.082.500;30;25-dic-20;24-dic.-20;25-nov-20;OTROS;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6191;23-nov.-20;CINTAS TEXTILES S.A.S. CINTATEX S.A.S.;937.900;1.116.101;30;25-dic-20;22-dic.-20;25-nov-20;SANDPIPER;PAGADA DICIEMBRE;;
CALI;NVJ;6192;23-nov.-20;ITALCOL DE OCCIDENTE S.A.;1.970.000;2.344.300;30;25-dic-20;23-dic.-20;25-nov-20;HIDROMAC;PAGADA DICIEMBRE;;
MEDELLIN;JGG;6193;23-nov.-20;EUROCERAMICA S.A.;3.649.400;4.342.786;30;25-dic-20;8-ene.-21;25-nov-20;SANDPIPER;PAGADA ENERO;;
MEDELLIN;JGG;6194;23-nov.-20;AGUATEC S.A.S.;192.000;228.480;30;25-dic-20;21-dic.-20;25-nov-20;SANDPIPER;PAGADA DICIEMBRE;;
BUCARAMANGA;MAV;6195;23-nov.-20;FIBERGLASS COLOMBIA S.A.;56.582.097;67.332.695;30;25-dic-20;7-ene.-21;25-nov-20;VIKING;PAGADA ENERO;;
;;6196;;ANULADA;;;;;;;;;;
;;6197;;ANULADA;;;;;;;;;;
BOGOTA;JFA;6198;23-nov.-20;ITALCOL S.A.;5.120.000;6.092.800;30;25-dic-20;12-ene.-21;25-nov-20;OTROS;PAGADA ENERO;;
BOGOTA;RGC ;6199;23-nov.-20;ITALCOL S.A.;530.000;630.700;30;25-dic-20;12-ene.-21;25-nov-20;OTROS;PAGADA ENERO;;
BOGOTA;RGC;6200;23-nov.-20;CIA COLOMBIANA DE CERAMICA S.A.S.;2.928.458;3.484.865;60;24-ene-21;20-ene.-21;25-nov-20;OTROS;PAGADA ENERO;;
MEDELLIN;JGG;6201;23-nov.-20;CONTINENTAL GOLD LIMITED SUCURSAL COLOMBIA;8.062.500;9.594.375;30;25-dic-20;24-dic.-20;25-nov-20;OTROS;PAGADA DICIEMBRE;;
BOGOTA;RGC;6202;24-nov.-20;ALIMENTOS FINCA S.A.S.;1.410.000;1.677.900;30;26-dic-20;5-ene.-21;26-nov-20;OTROS;PAGADA ENERO;;
BOGOTA;MAV ;6203;24-nov.-20;SOLLA S.A.;1.680.000;1.999.200;30;26-dic-20;30-dic.-20;26-nov-20;VIKING;PAGADA DICIEMBRE;;
BOGOTA;MAV;6204;24-nov.-20;SOLLA S.A.;516.000;614.040;30;26-dic-20;30-dic.-20;26-nov-20;DOSIFICACION;PAGADA DICIEMBRE;;
