CIUDAD;VENDEDOR;FACTURA ;FECHA;CLIENTE ;VALOR SIN IVA;VALOR CON IVA;CREDITO;VENCIMIENTO;FECHA PAGO;RADICACION;LINEA; ESTADO DE LA COMISION;;
MEDELLIN;JGG;1317;9-ago-13;ENKA DE COLOMBIA;256.200;297.192;30;9-sep-13;DEVUELTA;10-ago-13;;DEVUELTA;;
MEDELLIN;DAQ;1318;9-ago-13;NEW STETIC S.A.;1.644.088;1.907.142;30;9-sep-13;20-sep.-13;10-ago-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1319;9-ago-13;COLCERAMICA S.A.;934.600;1.084.136;60;9-oct-13;25-oct.-13;10-ago-13;;PAGADA OCTUBRE;;
MEDELLIN;DAQ;1323;13-ago-13;EUROCERAMICA S.A.;610.000;707.600;30;13-sep-13;13-sep.-13;14-ago-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1324;13-ago-13;LOCERIA COLOMBIANA S.A.;1.776.000;2.060.160;60;13-oct-13;25-oct.-13;14-ago-13;;PAGADA OCTUBRE;;
BOGOTA;LRL;1325;14-ago.-13;MASTER CONTROLS LTDA.;2.795.641;3.242.944;30;13-sep-13;13-sep.-13;14-ago-13;;PAGADA DICIEMBRE;;
BOGOTA;LRL;1326;15-ago.-13;METAPETROLEUM CORP SUCURSAL COLOMBIA;29.975.000;34.771.000;30;14-sep-13;18-sep.-13;15-ago-13;;PAGADA SEPTIEMBRE;;
BOGOTA;LRL;1327;15-ago.-13;METAPETROLEUM CORP SUCURSAL COLOMBIA;3.860.000;4.477.600;30;14-sep-13;18-sep.-13;15-ago-13;;PAGADA SEPTIEMBRE;;
BOGOTA;MAV;1328;15-ago-13;SOLLA S.A.;144.100;167.156;30;14-sep-13;18-sep.-13;15-ago-13;;PAGADA SEPTIEMBRE;;
CALI;APM;1330;20-ago-13;ROMARCO S.A.;15.840.000;18.374.400;30;22-sep-13;16-sep.-13;23-ago-13;;PAGADA SEPTIEMBRE;;
BOGOTA;JGG;1331;20-ago-13;COLCERAMICA S.A.;1.400.000;1.624.000;60;20-oct-13;25-oct.-13;21-ago-13;;PAGADA OCTUBRE;;
MEDELLIN;DAQ;1332;20-ago-13;Representaciones Oscar Jaramillo Plasticos Ojara S.A.;65.000;75.400;60;20-oct-13;28-oct.-13;21-ago-13;;PAGADA OCTUBRE;;
BOGOTA;LRL;1333;22-ago.-13;MASTER CONTROLS LTDA.;13.056.358;15.145.375;30;21-sep-13;21-sep.-13;22-ago-13;;PAGADA DICIEMBRE;;
MEDELLIN;DAQ;1334;23-ago-13;PAPELSA S.A.;338.800;393.008;30;25-sep-13;4-oct.-13;26-ago-13;;PAGADA OCTUBRE;;
BOGOTA;JGG;1337;23-ago-13;COLCERAMICA S.A.;10.752.000;12.472.320;60;23-oct-13;12-nov.-13;24-ago-13;;PAGADA NOVIEMBRE;;
BOGOTA;JGG;1338;23-ago-13;COLCERAMICA S.A.;501.000;581.160;60;23-oct-13;12-nov.-13;24-ago-13;;PAGADA NOVIEMBRE;;
MEDELLIN;DAQ;1339;23-ago-13;C.I. LEONISA S.A. ;471.900;547.404;30;25-sep-13;27-sep.-13;26-ago-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;DAQ;1340;23-ago-13;C.I. LEONISA S.A. ;140.400;162.864;30;25-sep-13;27-sep.-13;26-ago-13;;PAGADA SEPTIEMBRE;;
BOGOTA;JGG;1341;23-ago-13;SUMINISTROS DE COLOMBIA S.A.;262.504;304.505;60;23-oct-13;12-nov.-13;24-ago-13;;PAGADA NOVIEMBRE;;
CALI;APM;1342;23-ago-13;CARTONES AMERICA S.A.;408.960;474.394;30;25-sep-13;1-nov.-13;26-ago-13;;PAGADA NOVIEMBRE;;
CALI;APM;1343;23-ago-13;SULFOQUIMICA S.A.;56.600;65.656;30;25-sep-13;11-oct.-13;26-ago-13;;PAGADA OCTUBRE;;
;;1344;;ANULADA;;;;;;;;;;
;;1345;;ANULADA;;;;;;;;;;
MEDELLIN;DAQ;1346;23-ago-13;ELATEX S.A.;396.200;459.592;30;25-sep-13;5-nov.-13;26-ago-13;;PAGADA NOVIEMBRE;;
BOGOTA;JGG;1349;26-ago-13;SUMINISTROS DE COLOMBIA S.A.;2.041.500;2.368.140;60;25-oct-13;12-nov.-13;26-ago-13;;PAGADA NOVIEMBRE;;
BOGOTA;LRL;1350;23-ago.-13;MEXICHEM RESINAS COLOMBIA S.A.S.;1.155.600;1.340.496;60;25-oct-13;25-oct.-13;26-ago-13;;PAGADA OCTUBRE;;
BOGOTA;LRL;1351;23-ago.-13;MEXICHEM RESINAS COLOMBIA S.A.S.;870.000;1.009.200;60;25-oct-13;25-oct.-13;26-ago-13;;PAGADA OCTUBRE;;
BOGOTA;JGG;1353;1-sep-13;PRODUCTOS QUÍMICOS PANAMERICANOS S.A.;144.800;167.968;30;1-oct-13;13-dic.-13;1-sep-13;;PAGADA DICIEMBRE;;
BOGOTA;LRL;1354;1-sep.-13;MASTER CONTROLS LTDA.;566.816;657.507;30;1-oct-13;1-oct.-13;1-sep-13;;PAGADA DICIEMBRE;;
MEDELLIN;JGG;1355;1-sep-13;COLCERAMICA S.A.;230.400;267.264;60;31-oct-13;12-nov.-13;1-sep-13;;PAGADA NOVIEMBRE;;
MEDELLIN;JGG;1356;1-sep-13;COLCERAMICA S.A.;365.900;424.444;60;31-oct-13;12-nov.-13;1-sep-13;;PAGADA NOVIEMBRE;;
CARTAGENA;LRL;1357;1-sep.-13;MEXICHEM RESINAS COLOMBIA S.A.S.;2.105.000;2.441.800;60;2-nov-13;7-nov.-13;3-sep-13;;PAGADA NOVIEMBRE;;
CALI;APM;1358;1-sep-13;PAPELES NACIONALES S.A.;476.600;552.856;30;3-oct-13;29-oct.-13;3-sep-13;;PAGADA OCTUBRE;;
CALI;APM;1359;1-sep-13;PAPELES NACIONALES S.A.;2.582.400;2.995.584;30;3-oct-13;28-oct.-13;3-sep-13;;PAGADA OCTUBRE;;
BOGOTA;LRL;1360;2-sep.-13;MANSAROVAR ENERGY COLOMBIA LTDA;21.190.000;24.580.400;30;2-oct-13;16-oct.-13;2-sep-13;;PAGADA OCTUBRE;;
BOGOTA;LRL;1361;2-sep.-13;NORTHEX LTDA;5.500.000;6.380.000;0;2-sep-13;7-dic.-15;2-sep-13;;PAGADA DICIEMBRE;;
MEDELLIN;DAQ;1362;4-sep.-13;NUBIOLA COLOMBIA PIGMENTOS S.A.;658.000;763.280;30;3-oct-13;11-oct.-13;3-sep-13;;PAGADA OCTUBRE;;
BOGOTA;JGG;1363;4-sep.-13;SUMINISTROS DE COLOMBIA S.A.;26.200;30.392;60;4-nov-13;10-dic.-13;5-sep-13;;PAGADA DICIEMBRE;;
BOGOTA;JGG;1364;4-sep.-13;PRODUCTOS QUÍMICOS PANAMERICANOS S.A.;114.500;132.820;60;3-nov-13;13-dic.-13;4-sep-13;;PAGADA DICIEMBRE;;
MEDELLIN;DAQ;1365;4-sep.-13;Representaciones Oscar Jaramillo Plasticos Ojara S.A.;646.020;749.383;60;4-nov-13;28-nov.-13;5-sep-13;;PAGADA NOVIEMBRE;;
CALI;APM;1366;4-sep.-13;COMPAÑÍA NACIONAL DE LEVADURAS S.A.;401.600;465.856;30;5-oct-13;9-oct.-13;5-sep-13;;PAGADA OCTUBRE;;
CALI;APM;1367;5-sep.-13;COMPAÑÍA NACIONAL DE LEVADURAS S.A.;174.000;201.840;30;5-oct-13;9-oct.-13;5-sep-13;;PAGADA OCTUBRE;;
BOGOTA;LRL;1368;9-sep.-13;HERMIEQUIPOS Y BOMBAS S.A.S.;1.377.000;1.597.320;30;5-oct-13;27-nov.-13;5-sep-13;;PAGADA NOVIEMBRE;;
MEDELLIN;JGG;1369;10-sep.-13;COLCERAMICA S.A.;1.783.400;2.068.744;60;9-nov-13;25-nov.-13;10-sep-13;;PAGADA NOVIEMBRE;;
MEDELLIN;JGG;1370;10-sep.-13;COLCERAMICA S.A.;1.970.800;2.286.128;60;10-nov-13;25-nov.-13;11-sep-13;;PAGADA NOVIEMBRE;;
MEDELLIN;JGG;1371;10-sep.-13;SUMINISTROS DE COLOMBIA S.A.;160.800;186.528;60;10-nov-13;25-nov.-13;11-sep-13;;PAGADA NOVIEMBRE;;
BOGOTA;MAV;1372;11-sep.-13;PINTURAS EVERY S.A.S.;2.036.200;2.361.992;30;10-oct-13;2-dic.-13;10-sep-13;;PAGADA DICIEMBRE;;
BOGOTA;LRL;1373;12-sep.-13;SUMIVAC LTDA.;9.118.800;10.577.808;0;11-sep-13;11-sep.-13;11-sep-13;;PAGADA SEPTIEMBRE;;
BOGOTA;JGG;1374;13-sep.-13;COLCERAMICA S.A.;629.860;730.638;60;11-nov-13;25-nov.-13;12-sep-13;;PAGADA NOVIEMBRE;;
BUCARAMANGA;LRL;1375;13-sep.-13;ESSI ELECTRICIDAD Y SERVICIOS INDUSTRIALES S.A.S.;1.314.000;1.524.240;0;14-sep-13;10-oct.-13;14-sep-13;;PAGADA OCTUBRE;;
BOGOTA;JGG;1376;16-sep.-13;COLCERAMICA S.A.;3.166.000;3.672.560;60;12-nov-13;25-nov.-13;13-sep-13;;PAGADA NOVIEMBRE;;
CALI;APM;1377;18-sep.-13;CARTONERA NACIONAL S.A.;2.168.800;2.515.808;30;17-oct-13;31-oct.-13;17-sep-13;;PAGADA NOVIEMBRE;;
BOGOTA;LRL;1378;18-sep.-13;MASTER CONTROLS LTDA.;3.016.614;3.499.272;30;18-oct-13;18-oct.-13;18-sep-13;;PAGADA DICIEMBRE;;
BOGOTA;LRL;1379;20-sep.-13;ECOPETROL S.A.;1.838.200;2.132.312;30;18-oct-13;21-oct.-13;18-sep-13;;PAGADA OCTUBRE;;
BOGOTA;JUM;1380;20-sep.-13;COMESTIBLES ITALO;1.250.000;1.450.000;30;20-oct-13;18-nov.-13;20-sep-13;;PAGADA NOVIEMBRE;;
CALI;APM;1381;20-sep.-13;ROMARCO S.A.;10.560.000;12.249.600;30;21-oct-13;16-oct.-13;21-sep-13;;PAGADA OCTUBRE;;
MEDELLIN;DAQ;1382;20-sep.-13;TABLEMAC S.A.;612.000;709.920;30;21-oct-13;17-oct.-13;21-sep-13;;PAGADA OCTUBRE;;
BOGOTA;MAV;1383;20-sep.-13;PINTURAS EVERY S.A.S.;5.500.000;6.380.000;30;20-oct-13;2-dic.-13;20-sep-13;;PAGADA DICIEMBRE;;
BOGOTA;JGG;1385;25-sep.-13;SUMINISTROS DE COLOMBIA S.A.;2.759.274;3.200.758;60;24-nov-13;10-dic.-13;25-sep-13;;PAGADA DICIEMBRE;;
MEDELLIN;DAQ;1387;1-oct.-13;COMPAÑÍA GLOBAL DE PINTURAS;1.395.000;1.618.200;60;1-dic-13;7-nov.-13;2-oct-13;;PAGADA NOVIEMBRE;;
MEDELLIN;DAQ;1388;1-oct.-13;DISOLVENTES Y PETROLEOS DE ANTIOQUIA S.A.S.;5.836.800;6.770.688;30;1-nov-13;5-nov.-13;2-oct-13;;PAGADA NOVIEMBRE;;
BOGOTA;LRL;1389;2-oct.-13;ECOPETROL S.A.;4.675.000;5.423.000;30;1-nov-13;1-nov.-13;2-oct-13;;PAGADA NOVIEMBRE;;
BOGOTA;MAV;1390;2-oct.-13;INDUMIL COLOMBIA;35.688.000;41.398.080;30;2-nov-13;30-oct.-13;3-oct-13;;PAGADA OCTUBRE;;
CALI;APM;1391;2-oct.-13;ALIMENTOS FINCA S.A.;810.000;939.600;30;2-nov-13;7-nov.-13;3-oct-13;;PAGADA NOVIEMBRE;;
MEDELLIN;DAQ;1392;2-oct.-13;COLORQUIMICA S.A.;1.800.345;2.088.400;30;2-nov-13;8-nov.-13;3-oct-13;;PAGADA NOVIEMBRE;;
MEDELLIN;DAQ;1393;2-oct.-13;COLORQUIMICA S.A.;165.000;191.400;30;2-nov-13;8-nov.-13;3-oct-13;;PAGADA NOVIEMBRE;;
MEDELLIN;DAQ;1394;2-oct.-13;CARTON COLOMBIA S.A.;92.600;107.416;30;2-nov-13;3-dic.-13;3-oct-13;;PAGADA DICIEMBRE;;
MEDELLIN;DAQ;1395;2-oct.-13;ENKA DE COLOMBIA;702.000;814.320;30;2-nov-13;1-nov.-13;3-oct-13;;PAGADA NOVIEMBRE;;
MEDELLIN;JGG;1396;2-oct.-13;COLCERAMICA S.A.;471.600;547.056;60;2-dic-13;10-dic.-13;3-oct-13;;PAGADA DICIEMBRE;;
MEDELLIN;JGG;1397;2-oct.-13;COLCERAMICA S.A.;260.800;302.528;60;2-dic-13;10-dic.-13;3-oct-13;;PAGADA DICIEMBRE;;
BOGOTA;JUM;1398;3-oct.-13;EXTRACTORA DEL SUR DE CASANARE S.A.S.;990.300;1.148.748;45;17-nov-13;29-nov.-13;3-oct-13;;PAGADA DICIEMBRE;;
BOGOTA;JGG;1399;3-oct.-13;INPROQUIM S.A.S.;7.356.900;8.534.004;30;2-nov-13;30-oct.-13;3-oct-13;;PAGADA OCTUBRE;;
CALI;APM;1400;4-oct.-13;ROMARCO S.A.;5.280.000;6.124.800;30;6-nov-13;28-oct.-13;7-oct-13;;PAGADA OCTUBRE;;
CALI;APM;1401;4-oct.-13;ROMARCO S.A.;26.400.000;30.624.000;30;6-nov-13;28-oct.-13;7-oct-13;;PAGADA OCTUBRE;;
BOGOTA;LRL;1402;8-oct.-13;SOLFLUINCO S.A.S.;1.457.490;1.690.688;0;8-oct-13;24-oct.-13;8-oct-13;;PAGADA OCTUBRE;;
BOGOTA;MAV;1403;8-oct.-13;DIGI COSMETICS COLOMBIA S. A.;1.920.000;2.227.200;0;8-oct-13;7-oct.-13;8-oct-13;;PAGADA OCTUBRE;;
MEDELLIN;JGG;1404;8-oct.-13;COLCERAMICA S.A.;461.900;535.804;60;8-dic-13;10-dic.-13;9-oct-13;;PAGADA DICIEMBRE;;
MEDELLIN;JGG;1405;8-oct.-13;COLCERAMICA S.A.;32.400;37.584;60;8-dic-13;10-dic.-13;9-oct-13;;PAGADA DICIEMBRE;;
MEDELLIN;JGG;1406;8-oct.-13;COLCERAMICA S.A.;1.224.200;1.420.072;60;8-dic-13;10-dic.-13;9-oct-13;;PAGADA DICIEMBRE;;
MEDELLIN;DAQ;1407;8-oct.-13;CACHARRERIA MUNDIAL S. A. S.;1.270.200;1.473.432;30;8-nov-13;14-nov.-13;9-oct-13;;PAGADA NOVIEMBRE;;
